"x","y"
"2.672","'-8.8493"
"2.676","'-8.8493"
"2.68","'-18.849"
"2.684","'-20.849"
"2.688","'-6.8493"
"2.692","'-20.849"
"2.696","'-10.849"
"2.7","'-18.849"
"2.704","'-14.849"
"2.708","1.1507"
"2.712","'-8.8493"
"2.716","3.1507"
"2.72","3.1507"
"2.724","'-8.8493"
"2.728","'-4.8493"
"2.732","'-4.8493"
"2.736","27.151"
"2.74","29.151"
"2.744","31.151"
"2.748","19.151"
"2.752","33.151"
"2.756","25.151"
"2.76","43.151"
"2.764","39.151"
"2.768","13.151"
"2.772","'-4.8493"
"2.776","15.151"
"2.78","'-6.8493"
"2.784","'-26.849"
"2.788","'-26.849"
"2.792","'-22.849"
"2.796","'-26.849"
"2.8","'-36.849"
"2.804","'-40.849"
"2.808","'-34.849"
"2.812","'-26.849"
"2.816","'-42.849"
"2.82","'-40.849"
"2.824","'-52.849"
"2.828","'-50.849"
"2.832","'-34.849"
"2.836","'-36.849"
"2.84","'-20.849"
"2.844","'-26.849"
"2.848","'-24.849"
"2.852","'-26.849"
"2.856","'-40.849"
"2.86","'-18.849"
"2.864","'-18.849"
"2.868","'-4.8493"
"2.872","15.151"
"2.876","'-28.849"
"2.88","'-28.849"
"2.884","'-10.849"
"2.888","5.1507"
"2.892","13.151"
"2.896","49.151"
"2.9","153.15"
"2.904","315.15"
"2.908","471.15"
"2.912","599.15"
"2.916","735.15"
"2.92","735.15"
"2.924","507.15"
"2.928","147.15"
"2.932","'-148.85"
"2.936","'-336.85"
"2.94","'-374.85"
"2.944","'-332.85"
"2.948","'-234.85"
"2.952","'-164.85"
"2.956","'-136.85"
"2.96","'-124.85"
"2.964","'-132.85"
"2.968","'-136.85"
"2.972","'-100.85"
"2.976","'-106.85"
"2.98","'-102.85"
"2.984","'-88.849"
"2.988","'-100.85"
"2.992","'-74.849"
"2.996","'-62.849"
"3","'-50.849"
"3.004","'-66.849"
"3.008","'-36.849"
"3.012","'-50.849"
"3.016","'-46.849"
"3.02","'-42.849"
"3.024","'-30.849"
"3.028","'-8.8493"
"3.032","'-12.849"
"3.036","'-22.849"
"3.04","'-24.849"
"3.044","'-6.8493"
"3.048","1.1507"
"3.052","'-4.8493"
"3.056","'-8.8493"
"3.06","'-10.849"
"3.064","'-12.849"
"3.068","23.151"
"3.072","23.151"
"3.076","15.151"
"3.08","'-10.849"
"3.084","'-8.8493"
"3.088","13.151"
"3.092","27.151"
"3.096","43.151"
"3.1","39.151"
"3.104","21.151"
"3.108","29.151"
"3.112","37.151"
"3.116","35.151"
"3.12","39.151"
"3.124","31.151"
"3.128","27.151"
"3.132","37.151"
"3.136","19.151"
"3.14","27.151"
"3.144","27.151"
"3.148","37.151"
"3.152","49.151"
"3.156","47.151"
"3.16","33.151"
"3.164","33.151"
"3.168","37.151"
"3.172","47.151"
"3.176","39.151"
"3.18","25.151"
"3.184","33.151"
"3.188","45.151"
"3.192","35.151"
"3.196","23.151"
"3.2","21.151"
"3.204","3.1507"
"3.208","21.151"
"3.212","11.151"
"3.216","'-10.849"
"3.22","'-26.849"
"3.224","'-42.849"
"3.228","'-40.849"
"3.232","'-56.849"
"3.236","'-52.849"
"3.24","'-62.849"
"3.244","'-68.849"
"3.248","'-64.849"
"3.252","'-54.849"
"3.256","'-42.849"
"3.26","'-44.849"
"3.264","'-58.849"
"3.268","'-64.849"
"3.272","'-56.849"
"3.276","'-46.849"
"3.28","'-52.849"
"3.284","'-20.849"
"3.288","'-34.849"
"3.292","'-38.849"
"3.296","'-24.849"
"3.3","'-10.849"
"3.304","'-24.849"
"3.308","'-2.8493"
"3.312","'-6.8493"
"3.316","'-10.849"
"3.32","'-24.849"
"3.324","'-28.849"
"3.328","'-30.849"
"3.332","'-8.8493"
"3.336","7.1507"
"3.34","3.1507"
"3.344","'-0.8493"
"3.348","'-14.849"
"3.352","'-0.8493"
"3.356","'-8.8493"
"3.36","'-2.8493"
"3.364","'-12.849"
"3.368","3.1507"
"3.372","'-14.849"
"3.376","'-14.849"
"3.38","3.1507"
"3.384","'-0.8493"
"3.388","'-8.8493"
"3.392","13.151"
"3.396","7.1507"
"3.4","3.1507"
"3.404","25.151"
"3.408","'-0.8493"
"3.412","'-10.849"
"3.416","7.1507"
"3.42","3.1507"
"3.424","11.151"
"3.428","27.151"
"3.432","1.1507"
"3.436","'-6.8493"
"3.44","'-0.8493"
"3.444","19.151"
"3.448","13.151"
"3.452","37.151"
"3.456","61.151"
"3.46","43.151"
"3.464","63.151"
"3.468","39.151"
"3.472","45.151"
"3.476","57.151"
"3.48","43.151"
"3.484","35.151"
"3.488","19.151"
"3.492","19.151"
"3.496","5.1507"
"3.5","9.1507"
"3.504","'-14.849"
"3.508","'-22.849"
"3.512","'-12.849"
"3.516","'-26.849"
"3.52","'-16.849"
